Filmkode; Dansk titel ; Original titel ; Nationalitet ; Filmens længde i minutter ; Genre ; Censurforhold ; premiere uge ; premiere år ; Antal solgte biografbilletter 
9639;THE DAY THE EARTH STOOD STILL;THE DAY THE EARTH STOOD STILL;USA;105;Spillefilm, voksne;Tilladt for børn over 11 år;50;2008;68457
8503;ALIEN VS. PREDATOR;AVP: ALIEN VS. PREDATOR;USA;101;Spillefilm, voksne;Tilladt for børn over 11 år;47;2004;68445
2900;STJERNEPARADEN - JULENAT (ALL STAR CARTOON REVUE);ALL STAR CARTOON REVUE (SE 2899);USA;68;.;Tilladt for alle;46;1978;68427
11313;SPIONERNES BRO;BRIDGE OF SPIES;USA;142;Spillefilm, voksne;Tilladt for børn over 11 år;48;2015;68386
2833;BYENS HURTIGSTE STRØMER;POLIZIOTTO SPRINT;ITALIEN;98;.;Tilladt for børn over 11 år;35;1978;68300
10338;NEW YEARS EVE;NEW YEAR'S EVE;USA;118;Spillefilm, voksne;Tilladt for alle;49;2011;68175
7406;FAMILIE TERAPI;ANALYZE THIS;USA;105;.;Tilladt for børn over 15 år;31;1999;68172
6830;SÆNK PERISKOBET;DOWN PERISCOPE;USA;93;.;Frarådet for børn under 7 år;26;1996;68160
7354;ROLLINGER;THE RUGRATS MOVIE;USA;80;.;Frarådet for børn under 7 år;12;1999;68158
12164;ALITA:BATTLE ANGEL;ALITA:BATTLE ANGEL;USA;120;Spillefilm, voksne;Tilladt for børn over 11 år;7;2019;68149
7770;EVOLUTION;EVOLUTION;USA;102;.;Frarådet for børn under 7 år;27;2001;68130
12235;JOHN WICK 3: PARABELLUM;JOHN WICK 3: PARABELLUM;USA;131;Spillefilm, voksne;Tilladt for børn over 15 år;20;2019;68100
12262;ANNABELLE COMES HOME;ANNABELLE COMES HOME;USA;106;Spillefilm, voksne;Tilladt for børn over 15 år;26;2019;68008
3409;DET ER SHOWTIME;ALL THAT JAZZ;USA;124;.;Tilladt for børn over 15 år;38;1980;67984
7208;KODENAVN: MERCURY;MERCURY RISING;USA;112;.;Tilladt for børn over 15 år;17;1998;67867
2236;BLACK EMANUELLE;EMANUELLE NERA;ITALIEN;97;.;Over 15 år, ikke censureret;21;1977;67803
6512;SHORT CUTS;SHORT CUTS;USA;189;.;Tilladt for børn over 11 år;21;1994;67775
8749;LEGENDEN OM ZORRO;THE LEGEND OF ZORRO;USA;129;Spillefilm, voksne;Tilladt for børn over 11 år;43;2005;67756
9591;MUMIEN: DRAGE - KEJSERENS GRAV;THE MUMMY:TOMB OF THE DRAGON EMPEROR;USA;113;Spillefilm, voksne;Tilladt for børn over 11 år;32;2008;67754
390;BALLADE PÅ CHRISTIANSHAVN;;DANMARK;106;.;Tilladt for alle;11;1971;67734
4591;DER VAR ENGANG I AMERIKA;ONCE UPON A TIME IN AMERICA;USA;123;.;Over 15 år, ikke censureret;36;1984;67703
1100;PASSER PASSER PIGER;;DANMARK;85;.;Tilladt for alle;30;1965;67647
7481;PIPPI PÅ DE SYV HAVE;PIPPI I SODERHAVET;SVERIGE;77;.;Tilladt for alle;50;1999;67579
2664;VERDENS STØRSTE ELSKER;THE WORLDS GREATEST LOVER;USA;90;.;Tilladt for alle;7;1978;67579
4858;SUBWAY;SUBWAY;FRANKRIG;103;.;Tilladt for børn over 11 år;45;1985;67557
9229;WILD HOGS - DE VILDE SVIN;WILD HOGS;USA;107;Spillefilm, voksne;Tilladt for børn over 15 år;15;2007;67550
